2,1,2,2,'2-2,2025-05-11,Kitchener Panthers,Toronto Maple Leafs,0,0,Towers,Sato,L,R,Breaking Ball,Strikeout Swinging,,,0,-1.15888,-0.19726
2,2,0,0,'0-0,2025-05-11,Kitchener Panthers,Toronto Maple Leafs,0,0,Cabral,Sato,R,R,Breaking Ball,Groundout,Ground Ball,Opposite Field,0,-0.00359,0.602869
2,0,0,0,'0-0,2025-05-11,Toronto Maple Leafs,Kitchener Panthers,0,0,Dei Banning,Vargas,R,R,Fastball,Called Strike,,,0,0.685146,0.189614
2,0,0,1,'0-1,2025-05-11,Toronto Maple Leafs,Kitchener Panthers,0,0,Dei Banning,Vargas,R,R,Fastball,Called Strike,,,0,-0.93671,0.532527
2,0,0,2,'0-2,2025-05-11,Toronto Maple Leafs,Kitchener Panthers,0,0,Dei Banning,Vargas,R,R,Breaking Ball,Ball,,,0,-0.20354,-0.24123
2,0,1,2,'1-2,2025-05-11,Toronto Maple Leafs,Kitchener Panthers,0,0,Dei Banning,Vargas,R,R,Fastball,Ball,,,0,-0.89227,0.040139
2,0,2,2,'2-2,2025-05-11,Toronto Maple Leafs,Kitchener Panthers,0,0,Dei Banning,Vargas,R,R,Breaking Ball,Strikeout Swinging,,,0,-0.69232,0.470979
2,1,0,0,'0-0,2025-05-11,Toronto Maple Leafs,Kitchener Panthers,0,0,Cecchetto,Vargas,R,R,Breaking Ball,Ball,,,0,-1.62544,-0.41708
2,1,1,0,'1-0,2025-05-11,Toronto Maple Leafs,Kitchener Panthers,0,0,Cecchetto,Vargas,R,R,Breaking Ball,Called Strike,,,0,-0.71453,0.119273
2,1,1,1,'1-1,2025-05-11,Toronto Maple Leafs,Kitchener Panthers,0,0,Cecchetto,Vargas,R,R,Breaking Ball,Ball,,,0,1.28501,0.638039
2,1,2,1,'2-1,2025-05-11,Toronto Maple Leafs,Kitchener Panthers,0,0,Cecchetto,Vargas,R,R,Fastball,Swinging Strike,,,0,-0.44793,0.550113
2,1,2,2,'2-2,2025-05-11,Toronto Maple Leafs,Kitchener Panthers,0,0,Cecchetto,Vargas,R,R,Fastball,Ball,,,0,1.24057,0.119273
2,1,3,2,'3-2,2025-05-11,Toronto Maple Leafs,Kitchener Panthers,0,0,Cecchetto,Vargas,R,R,Fastball,Walk,,,0,1.46275,-0.19726
2,1,0,0,'0-0,2025-05-11,Toronto Maple Leafs,Kitchener Panthers,0,0,D. Marra,Vargas,R,R,Fastball,Ball,,,100,1.35166,0.761136
2,1,1,0,'1-0,2025-05-11,Toronto Maple Leafs,Kitchener Panthers,0,0,D. Marra,Vargas,R,R,Breaking Ball,Ball,,,100,-1.46992,-0.53138
