Inning,Outs,Balls,Strikes,Count,Date,Batter_Team,Pitcher_Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y
4,1,2,2,'2-2,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Marcus Knecht,Samuel Quintana,R,L,Offspeed,Ball,,,110,-0.809967799,0.417453513
4,1,3,2,'3-2,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Marcus Knecht,Samuel Quintana,R,L,Offspeed,Foul,,,110,-0.918720726,0.361501477
4,1,3,2,'3-2,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Marcus Knecht,Samuel Quintana,R,L,Fastball,Foul,,,110,-0.440207845,0.275421422
4,1,3,2,'3-2,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Marcus Knecht,Samuel Quintana,R,L,Offspeed,Foul,,,110,0.745199063,0.25820541
4,1,3,2,'3-2,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Marcus Knecht,Samuel Quintana,R,L,Offspeed,Foul,,,110,-0.157450234,0.245293402
4,1,3,2,'3-2,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Marcus Knecht,Samuel Quintana,R,L,Offspeed,Double Play,,,110,-0.483709016,0.413149511
5,0,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Trent Lawson,Yadian Martinez,R,R,,Ball,,,0,,
5,0,1,0,'1-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Trent Lawson,Yadian Martinez,R,R,Fastball,Ball,,,0,-0.070447892,0.44327753
5,0,2,0,'2-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Trent Lawson,Yadian Martinez,R,R,Fastball,Called Strike,,,0,0.060055621,0.413149511
5,0,2,1,'2-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Trent Lawson,Yadian Martinez,R,R,Offspeed,Called Strike,,,0,-0.233577283,0.413149511
5,0,2,2,'2-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Trent Lawson,Yadian Martinez,R,R,Fastball,Home Run,Fly Ball,Straightaway,0,-0.048697307,0.516445577
5,0,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Charlie Towers,Yadian Martinez,R,R,Offspeed,Ball,,,0,0.092681499,0.959757864
5,0,1,0,'1-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Charlie Towers,Yadian Martinez,R,R,Fastball,Ball,,,0,0.832201405,0.770381741
5,0,2,0,'2-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Charlie Towers,Yadian Martinez,R,R,Fastball,Popout,Pop Up,Opposite Field,0,-0.037822014,0.469101547
5,1,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosvani Penalver,Yadian Martinez,L,R,Fastball,Called Strike,,,0,-0.255327869,0.374413486
5,1,0,1,'0-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosvani Penalver,Yadian Martinez,L,R,Offspeed,Ball,,,0,0.788700234,0.331373458
