Player,Season,Team,P,Height,Weight,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SF,SH,SB,CS,DP,E,OPS,SLG,OBP,PA,AB/HR,BB/PA,BB/K,SECA,ISOP,RC
"Beltran, L",2025,Barrie Baycats,C,,,0.074,9,27,2,2,0,0,2,3,1,0,8,0,0,0,0,1,1,0.403,0.296,0.107,28,13.5,0.036,0.125,0.259,0.222,0.857
"Henriquez, R",2025,Barrie Baycats,P,6.02,180,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Tibbits, J",2025,Barrie Baycats,PH,,,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,0,0,0,3,0,0,0,0,0,0
"Godfrey, J",2025,Barrie Baycats,PH,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"Owen, Z",2025,Barrie Baycats,OF,,,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Morris-Johns, J",2025,Barrie Baycats,DH,,,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,2,0,0,0,0,0,0
"Warden, J",2025,Barrie Baycats,P,,,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Sano, C",2025,Barrie Baycats,P,6.01,225,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Pakkala, B",2025,Barrie Baycats,P,6.02,190,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
"Knecht, M",2025,Toronto Maple Leafs,OF,6.01,200,0.358,28,109,26,39,10,0,8,24,15,1,33,0,0,1,0,1,0,1.11,0.67,0.44,125,13.625,0.12,0.455,0.459,0.312,31.79
"Castaldo, J",2025,Toronto Maple Leafs,1B,6.01,205,0.336,31,119,28,40,6,0,12,38,24,3,27,0,0,0,0,2,7,1.148,0.689,0.459,146,9.917,0.164,0.889,0.555,0.353,36.699
"Javier, J",2025,Toronto Maple Leafs,OF,5.1,175,0.322,41,174,33,56,8,1,6,28,14,4,29,4,1,0,0,3,9,0.861,0.483,0.378,197,29,0.071,0.483,0.241,0.161,31.277
"Moreno, R",2025,Toronto Maple Leafs,IF,,,0.287,21,94,11,27,2,0,3,20,5,1,14,1,0,2,3,3,9,0.731,0.404,0.327,101,31.333,0.05,0.357,0.16,0.117,12.283
"Dei Baning, D",2025,Toronto Maple Leafs,OF,6.01,205,0.286,36,126,14,36,8,0,7,32,5,6,39,2,0,3,1,2,2,0.854,0.516,0.338,139,18,0.036,0.128,0.286,0.23,20.344
"McAskie, A",2025,Toronto Maple Leafs,1B,,,0.273,3,11,1,3,0,0,0,1,0,0,3,0,0,0,0,1,1,0.546,0.273,0.273,11,0,0,0,0,0,0.818
"Marra, D",2025,Toronto Maple Leafs,IF,5.08,160,0.266,36,124,21,33,4,0,2,15,25,1,18,2,4,1,1,3,7,0.735,0.347,0.388,156,62,0.16,1.389,0.282,0.081,16.738
"Marra, J",2025,Toronto Maple Leafs,C,5.08,160,0.263,40,152,23,40,4,0,5,21,26,2,42,1,0,1,0,5,7,0.764,0.388,0.376,181,30.4,0.144,0.619,0.303,0.125,21.876
"Ross, S",2025,Toronto Maple Leafs,IF,5.07,165,0.257,35,109,21,28,4,0,0,13,27,5,26,1,1,1,0,2,9,0.717,0.294,0.423,143,0,0.189,1.038,0.294,0.037,12.941
"Dos Santos, R",2025,Toronto Maple Leafs,OF,6.03,190,0.252,42,155,45,39,12,0,4,21,46,5,56,0,3,15,4,1,10,0.843,0.406,0.437,209,38.75,0.22,0.821,0.523,0.155,26.642
"Cecchetto, M",2025,Toronto Maple Leafs,IF,6,250,0.25,9,28,2,7,0,0,0,5,3,0,5,0,0,0,0,2,1,0.573,0.25,0.323,31,0,0.097,0.6,0.107,0,2.258
"Sitarenios, B",2025,Toronto Maple Leafs,OF,6,185,0.25,20,44,7,11,1,0,0,5,3,4,15,1,0,2,0,1,1,0.619,0.273,0.346,52,0,0.058,0.2,0.136,0.023,3.574
"MacInnis, S",2025,Toronto Maple Leafs,CF,,,0.238,21,42,10,10,0,0,2,2,5,0,13,0,3,2,0,1,0,0.7,0.381,0.319,50,21,0.1,0.385,0.31,0.143,5.106
"Lewis, C",2025,Toronto Maple Leafs,OF,5.1,200,0.235,13,34,2,8,1,0,0,4,1,1,9,0,0,0,0,0,1,0.543,0.265,0.278,36,0,0.028,0.111,0.059,0.029,2.314
"Shaw, K",2025,Toronto Maple Leafs,PH,,,0.219,15,32,5,7,1,0,1,3,2,0,15,0,0,0,0,0,0,0.609,0.344,0.265,34,32,0.059,0.133,0.188,0.125,2.912
"Boscarino, L",2025,Toronto Maple Leafs,C,5.1,190,0.2,13,40,7,8,0,0,0,1,4,2,8,1,2,0,0,1,0,0.498,0.2,0.298,49,0,0.082,0.5,0.1,0,2.182
"Picton, C",2025,Toronto Maple Leafs,OF,,,0.167,3,12,0,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0.334,0.167,0.167,12,0,0,0,0,0,0.333
"Brandt, M",2025,Toronto Maple Leafs,C,,,0.143,3,7,2,1,0,0,0,1,2,0,1,0,0,0,0,1,0,0.476,0.143,0.333,9,0,0.222,2,0.286,0,0.333
"Mejia, J",2025,Toronto Maple Leafs,IF,,,0.091,3,11,1,1,1,0,0,1,0,0,5,0,0,0,0,2,1,0.273,0.182,0.091,11,0,0,0,0.091,0.091,0.182
"Lampreia, Z",2025,Toronto Maple Leafs,UT,5.1,175,0.065,19,31,5,2,0,0,0,0,3,0,17,0,0,0,0,0,1,0.212,0.065,0.147,34,0,0.088,0.176,0.097,0,0.294
"Carrington, G",2025,Toronto Maple Leafs,OF,5.1,175,0,4,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Topolie, D",2025,Toronto Maple Leafs,DH,,,0,2,6,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0.25,0,0.25,9,0,0.222,1,0.333,0,0
"Martin, K",2025,Toronto Maple Leafs,SS,,,0,1,3,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0.2,0,0.2,5,0,0.2,1,0.667,0,0
"Porcellato, M",2025,Welland Jackfish,OF,,,0.396,36,144,31,57,6,2,2,36,24,5,35,1,1,26,4,2,4,1.001,0.507,0.494,175,72,0.137,0.686,0.431,0.111,35.196
"Smibert, J",2025,Welland Jackfish,IF,6.03,215,0.382,8,34,8,13,6,0,0,8,2,1,4,0,0,1,0,0,0,0.991,0.559,0.432,37,0,0.054,0.5,0.265,0.176,7.917
"Luther, B",2025,Welland Jackfish,IF,6.01,180,0.368,42,163,43,60,6,0,3,31,22,5,25,3,1,17,3,5,9,0.911,0.46,0.451,194,54.333,0.113,0.88,0.313,0.092,33.243
"Sanford, J",2025,Welland Jackfish,OF,,,0.355,14,62,16,22,3,3,2,9,11,0,8,0,0,0,0,2,4,1.049,0.597,0.452,73,31,0.151,1.375,0.419,0.242,16.726
"Weisner, J",2025,Welland Jackfish,IF,5.1,180,0.349,42,189,51,66,9,1,6,34,26,2,30,2,1,26,4,3,12,0.932,0.503,0.429,221,31.5,0.118,0.867,0.407,0.153,40.651
"Morello, G",2025,Welland Jackfish,CF,5.11,175,0.333,39,153,32,51,10,1,1,27,24,8,29,3,2,8,3,1,2,0.872,0.431,0.441,190,153,0.126,0.828,0.288,0.098,27.966
"Marco, G",2025,Welland Jackfish,C,5.1,170,0.333,4,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0.933,0.333,0.6,5,0,0.4,2,0.667,0,0.6
"Cawker, S",2025,Welland Jackfish,C,,,0.318,5,22,6,7,3,0,0,4,2,0,4,1,0,0,0,0,0,0.815,0.455,0.36,25,0,0.08,0.5,0.227,0.136,3.75
"Mullen, R",2025,Welland Jackfish,C,5.11,220,0.301,42,146,33,44,3,0,11,40,32,8,23,6,0,1,0,4,1,0.986,0.548,0.438,192,13.273,0.167,1.391,0.473,0.247,34.157
"Boucher, P",2025,Welland Jackfish,LF,,,0.297,17,64,18,19,3,0,2,17,13,1,13,1,0,7,3,1,3,0.856,0.438,0.418,79,32,0.165,1,0.406,0.141,11.636
"Barrett, G",2025,Welland Jackfish,IF,6.02,215,0.296,40,152,32,45,9,0,7,32,12,7,48,1,1,1,0,7,1,0.865,0.493,0.372,173,21.714,0.069,0.25,0.283,0.197,26.067
"Hupe, B",2025,Welland Jackfish,OF,6.03,205,0.288,42,153,36,44,6,1,3,31,14,5,46,3,1,8,3,1,2,0.759,0.399,0.36,176,51,0.08,0.304,0.235,0.111,21.186
"Gomm, A",2025,Welland Jackfish,1B,6.02,195,0.242,18,62,9,15,3,1,0,7,4,2,22,1,0,1,0,1,3,0.627,0.323,0.304,69,0,0.058,0.182,0.161,0.081,5.758
"Green, T",2025,Welland Jackfish,IF,6,175,0.239,12,46,14,11,1,0,2,7,7,1,17,1,0,0,3,1,1,0.736,0.391,0.345,55,23,0.127,0.412,0.239,0.152,6.113
"Feuerstake, C",2025,Welland Jackfish,P,,,0.231,8,13,4,3,0,0,0,0,3,0,5,0,0,1,0,0,0,0.606,0.231,0.375,16,0,0.188,0.6,0.308,0,1.125
"Lefebvre, L",2025,Welland Jackfish,IF,,,0.2,2,5,1,1,0,0,0,1,1,0,1,0,0,0,0,2,,0.533,0.2,0.333,6,0,0.167,1,0.2,0,0.333
"Marchese, J",2025,Welland Jackfish,IF,6.02,230,0.182,21,44,7,8,0,0,2,8,16,1,21,0,0,0,0,1,2,0.728,0.318,0.41,61,22,0.262,0.762,0.5,0.136,5.6
"Potrecz, R",2025,Welland Jackfish,C,,,0.143,3,7,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0.286,0.143,0.143,7,0,0,0,0,0,0.143
"Gomm, T",2025,Welland Jackfish,OF,6.02,195,0.135,15,37,7,5,3,0,0,2,6,0,15,0,0,0,0,0,0,0.472,0.216,0.256,43,0,0.14,0.4,0.243,0.081,2.047
"Hunt, E",2025,Welland Jackfish,IF,6,185,0.1,6,20,1,2,0,0,0,4,2,0,5,2,0,0,0,1,1,0.267,0.1,0.167,24,0,0.083,0.4,0.1,0,0.364
"Sebastianelli, N",2025,Welland Jackfish,PH,,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0
"Young, R",2025,Welland Jackfish,C,,,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
