Player,Season,Team,P,Height,Weight,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SF,SH,SB,CS,DP,E,OPS,SLG,OBP,PA,AB/HR,BB/PA,BB/K,SECA,ISOP,RC
"Pelletier, R",2025,London Majors,C,5.11,200,0.2,8,30,5,6,2,0,1,3,2,0,8,0,0,0,0,0,1,0.617,0.367,0.25,32,30,0.063,0.25,0.233,0.167,2.75
"Mosher, T",2025,London Majors,IF,5.09,194,0.174,26,69,8,12,2,0,1,4,10,1,15,0,1,0,0,2,3,0.534,0.246,0.288,81,69,0.123,0.667,0.217,0.072,4.734
"Amaral, D",2025,London Majors,IF,5.1,170,0.169,27,65,14,11,2,0,0,6,7,0,11,0,0,1,0,0,8,0.45,0.2,0.25,72,0,0.097,0.636,0.154,0.031,3.25
"Brownlee, C",2025,London Majors,DH,6.04,270,0.083,6,12,0,1,0,0,0,1,0,0,6,1,0,0,0,1,,0.16,0.083,0.077,13,0,0,0,0,0,0.083
"Williams, N",2025,London Majors,IF,6.02,295,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Chanderdat, J",2025,London Majors,IF,5.09,150,0,9,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0.5,0,0
"Grant, N",2025,London Majors,OF,6.01,195,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Osika, T",2025,London Majors,IF,,,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Laprise, L",2025,Chatham-Kent Barnstormers,OF,,,0.5,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1.5,1,0.5,2,0,0,0,0.5,0.5,1
"Kucera, L",2025,Chatham-Kent Barnstormers,CF,,,0.444,10,27,3,12,2,0,0,2,0,1,10,1,0,1,1,0,1,0.967,0.519,0.448,29,0,0,0,0.074,0.074,6.222
"Morrison, E",2025,Chatham-Kent Barnstormers,2B,5.11,190,0.422,35,154,28,65,9,1,4,23,9,2,11,3,0,12,2,3,11,1.023,0.571,0.452,168,38.5,0.054,0.818,0.273,0.149,39.951
"Plaz, V",2025,Chatham-Kent Barnstormers,IF,6.02,220,0.364,8,33,7,12,2,0,1,8,2,0,7,0,0,0,0,2,4,0.915,0.515,0.4,35,33,0.057,0.286,0.212,0.152,6.8
"Marcus, S",2025,Chatham-Kent Barnstormers,OF,6,200,0.363,35,146,29,53,10,1,5,26,6,4,33,2,0,0,1,1,3,0.947,0.548,0.399,158,29.2,0.038,0.182,0.219,0.185,31.053
"Fukuda, M",2025,Chatham-Kent Barnstormers,C,5.09,200,0.333,38,138,28,46,9,1,2,19,26,1,13,1,1,2,0,3,10,0.897,0.457,0.44,167,69,0.156,2,0.326,0.123,27.659
"Ohta, Y",2025,Chatham-Kent Barnstormers,OF,6.03,190,0.286,34,105,22,30,7,0,6,17,18,3,26,0,1,2,1,0,7,0.929,0.524,0.405,127,17.5,0.142,0.692,0.419,0.238,21.463
"Morin, S",2025,Chatham-Kent Barnstormers,OF,5.1,175,0.282,37,124,19,35,8,0,2,16,14,9,28,0,4,1,4,3,4,0.79,0.395,0.395,151,62,0.093,0.5,0.202,0.113,17.399
"Goodwin, S",2025,Chatham-Kent Barnstormers,SS,,,0.277,37,137,27,38,6,1,11,31,15,8,37,1,0,0,1,0,4,0.956,0.577,0.379,161,12.455,0.093,0.405,0.401,0.299,27.546
"Groening, A",2025,Chatham-Kent Barnstormers,DH,,,0.265,9,34,7,9,2,0,2,6,4,0,16,0,0,0,0,1,0,0.842,0.5,0.342,38,17,0.105,0.25,0.353,0.235,5.816
"Haggith, B",2025,Chatham-Kent Barnstormers,OF,6.03,210,0.228,31,114,9,26,3,0,2,13,17,1,28,1,0,1,0,0,2,0.638,0.307,0.331,133,57,0.128,0.607,0.237,0.079,11.489
"Constantineau, O",2025,Chatham-Kent Barnstormers,1B,6.01,220,0.228,29,92,18,21,1,0,4,13,15,1,35,0,0,0,0,3,3,0.713,0.37,0.343,108,23,0.139,0.429,0.304,0.141,11.439
"Mackie, R",2025,Chatham-Kent Barnstormers,IF,6,185,0.224,30,85,12,19,5,0,1,7,9,6,35,1,2,0,0,2,5,0.655,0.318,0.337,103,85,0.087,0.257,0.2,0.094,8.043
"Polowick, A",2025,Chatham-Kent Barnstormers,IF,,,0.194,13,31,5,6,2,0,0,1,5,0,8,0,2,0,0,2,4,0.564,0.258,0.306,38,0,0.132,0.625,0.226,0.065,2.444
"Strong, S",2025,Chatham-Kent Barnstormers,OF,,,0.182,10,44,5,8,2,0,3,11,5,0,9,0,0,0,0,2,2,0.697,0.432,0.265,49,14.667,0.102,0.556,0.364,0.25,5.041
"Vaselenak, T",2025,Chatham-Kent Barnstormers,P,6.02,200,0.174,32,86,22,15,5,1,4,12,21,0,34,1,1,0,0,0,8,0.728,0.395,0.333,109,21.5,0.193,0.618,0.465,0.221,11.439
"Wagner, T",2025,Chatham-Kent Barnstormers,U,,,0.163,15,49,5,8,1,0,1,4,6,1,9,0,1,0,0,2,0,0.513,0.245,0.268,57,49,0.105,0.667,0.204,0.082,3.055
"Sillett, T",2025,Chatham-Kent Barnstormers,1B,5.08,215,0.159,26,63,10,10,3,0,0,9,8,3,18,1,1,0,0,0,0,0.486,0.206,0.28,76,0,0.105,0.444,0.175,0.048,3.296
"McCosh, M",2025,Chatham-Kent Barnstormers,PH,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0
"Picchioni, N",2025,Chatham-Kent Barnstormers,OF,5.08,182,0,9,9,1,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0.25,0,0.25,12,0,0.083,0.333,0.111,0,0
"Butcher, J",2025,Chatham-Kent Barnstormers,,,,0,4,4,1,0,0,0,0,0,1,3,2,0,0,0,0,0,1,0.5,0,0.5,8,0,0.125,0.5,0.25,0,0
"Kekatos, N",2025,Hamilton Cardinals,OF,6.01,210,0.324,37,102,15,33,4,0,0,12,17,2,20,2,3,1,0,2,4,0.786,0.363,0.423,126,0,0.135,0.85,0.216,0.039,15.546
"Duncan, T",2025,Hamilton Cardinals,OF,6.03,225,0.308,40,159,31,49,11,2,7,30,21,5,45,2,1,8,1,2,0,0.936,0.535,0.401,188,22.714,0.112,0.467,0.403,0.226,33.056
"Dominguez, C",2025,Hamilton Cardinals,OF,5.11,198,0.305,31,128,30,39,3,1,5,22,11,4,34,0,0,20,5,0,1,0.839,0.461,0.378,143,25.6,0.077,0.324,0.359,0.156,21.223
"Nicoll, B",2025,Hamilton Cardinals,IF,5.11,200,0.305,39,164,26,50,14,0,7,27,18,5,36,3,1,8,3,2,7,0.902,0.518,0.384,191,23.429,0.094,0.5,0.354,0.213,31.758
"Hernandez, J",2025,Hamilton Cardinals,C,6,214,0.286,20,63,13,18,3,0,4,16,11,1,19,1,1,0,0,4,4,0.919,0.524,0.395,77,15.75,0.143,0.579,0.413,0.238,12.932
"Williams, J",2025,Hamilton Cardinals,DH,6.05,240,0.277,31,94,11,26,3,0,5,18,12,0,27,1,0,0,0,2,1,0.823,0.468,0.355,107,18.8,0.112,0.444,0.319,0.191,15.774
"Pena, Y",2025,Hamilton Cardinals,OF,6.03,190,0.271,38,133,23,36,3,0,5,23,22,0,30,2,2,4,5,5,2,0.775,0.406,0.369,159,26.6,0.138,0.733,0.293,0.135,20.206
"Reyes-Cruz, T",2025,Hamilton Cardinals,IF,5.09,195,0.255,33,98,14,25,3,0,2,13,14,1,18,0,3,3,1,0,7,0.701,0.347,0.354,116,49,0.121,0.778,0.255,0.092,11.839
"Solazzo, J",2025,Hamilton Cardinals,IF,6.03,230,0.25,30,96,17,24,3,1,2,9,17,5,37,0,0,2,0,1,7,0.755,0.365,0.39,118,48,0.144,0.459,0.313,0.115,12.699
"Rempel, T",2025,Hamilton Cardinals,1B,6,210,0.247,22,77,13,19,5,0,2,9,5,7,15,1,1,2,1,4,3,0.734,0.39,0.344,91,38.5,0.055,0.333,0.221,0.143,8.78
"Brown, J",2025,Hamilton Cardinals,IF,6.02,215,0.242,37,132,16,32,6,0,5,20,13,2,51,3,1,11,1,1,10,0.715,0.402,0.313,151,26.4,0.086,0.255,0.333,0.159,16.448
"Bernardo, L",2025,Hamilton Cardinals,MG,,,0.235,6,17,3,4,0,0,1,4,2,1,3,0,0,1,0,1,2,0.762,0.412,0.35,20,17,0.1,0.667,0.353,0.176,2.211
"Vittini, J",2025,Hamilton Cardinals,C,,,0.171,13,41,8,7,1,1,1,2,11,2,11,0,0,3,2,0,1,0.687,0.317,0.37,54,41,0.204,1,0.439,0.146,4.5
"Velocci, N",2025,Hamilton Cardinals,IF,6.02,165,0.143,19,21,9,3,0,0,0,2,3,2,15,0,0,3,0,0,2,0.451,0.143,0.308,26,0,0.115,0.2,0.286,0,0.75
"Hilderbrandt, M",2025,Hamilton Cardinals,DH,6.04,275,0.143,13,28,1,4,0,0,0,2,1,0,12,0,1,0,0,1,0,0.315,0.143,0.172,30,0,0.033,0.083,0.036,0,0.69
"Lawrence, A",2025,Hamilton Cardinals,OF,6,200,0.13,8,23,0,3,0,0,0,0,5,0,14,0,0,2,3,0,1,0.416,0.13,0.286,28,0,0.179,0.357,0.174,0,0.857
"Daley, B",2025,Hamilton Cardinals,IF,6.01,200,0.13,22,23,5,3,0,0,1,1,6,1,10,0,1,0,0,0,1,0.594,0.261,0.333,31,23,0.194,0.6,0.391,0.13,1.862
"Young, R",2025,Hamilton Cardinals,C,5.11,185,0.107,13,28,1,3,0,0,0,1,1,0,9,0,0,1,0,0,2,0.245,0.107,0.138,29,0,0.034,0.111,0.071,0,0.414
"Groves, J",2025,Hamilton Cardinals,OF,,,0.077,8,13,0,1,0,0,0,0,2,0,8,0,0,0,0,0,1,0.277,0.077,0.2,15,0,0.133,0.25,0.154,0,0.2
"Martin, E",2025,Hamilton Cardinals,PH,,,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
