Player,Season,Team,G,GS,CG,IP,H,R,ER,BB,SO,W,L,SV,2B,3B,ERA,SHO,HR,BAA,WP,HBP,WHIP,FAKE STRIKE %,STRIKE %,PFR,BIPA,K/9,BB/9,ERC,Fake FPS%,FPS %
"Plumpton, T",2025,Barrie Baycats,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,1,0.78,78,0,0.333,0,0,2.791,0.667,67
"Sano, C",2025,Barrie Baycats,18,1,0,26.1,14,6,3,7,26,5,1,7,4,0,1.02,0,0,0.156,2,3,0.8,0.66,66,1.253,0.177,8.886,2.392,1.008,0.883,88
"Morris, E",2025,Barrie Baycats,4,2,0,10,8,3,2,4,11,1,0,0,1,0,1.8,0,0,0.229,2,2,1.2,0.61,61,1.5,0.25,9.9,3.6,3.314,0.535,54
"Garces, F",2025,Barrie Baycats,14,12,1,89,71,25,22,16,116,5,3,0,14,2,2.22,0,3,0.216,1,1,0.98,0.7,70,1.483,0.291,11.73,1.618,1.849,0.692,69
"Nagorski, C",2025,Barrie Baycats,7,0,0,8.1,11,3,3,6,8,1,0,0,2,0,3.24,0,0,0.314,0,1,2.04,0.58,58,1.68,0.324,8.64,6.48,7.887,0.571,57
"Pakkala, B",2025,Barrie Baycats,14,0,0,22.2,25,18,9,11,22,1,0,0,2,0,3.57,0,2,0.272,2,2,1.59,0.61,61,1.456,0.264,8.735,4.368,5.18,0.75,75
"Benitez, J",2025,Barrie Baycats,13,12,0,73.2,81,36,34,20,60,6,2,0,19,2,4.15,0,4,0.285,1,8,1.37,0.67,67,1.086,0.292,7.33,2.443,4.25,0.703,70
"Rosado, C",2025,Barrie Baycats,13,11,0,55.2,51,40,32,38,56,4,5,0,5,0,5.17,0,3,0.241,8,15,1.6,0.57,57,1.689,0.229,9.054,6.144,5.413,0.536,54
"Khan, A",2025,Barrie Baycats,10,0,0,20.2,32,16,12,10,13,1,0,1,5,0,5.22,0,3,0.372,2,1,2.03,0.62,62,1.113,0.337,5.661,4.355,8.872,0.72,72
"Henriquez, R",2025,Barrie Baycats,11,0,0,18.1,14,13,11,15,25,0,1,0,2,0,5.4,0,0,0.212,6,2,1.58,0.53,53,2.182,0.233,12.273,7.364,4.242,0.595,60
"Grieveson, B",2025,Barrie Baycats,8,0,0,10.2,25,11,9,2,11,0,1,1,4,1,7.59,0,1,0.49,0,0,2.53,0.69,69,1.219,0.558,9.281,1.688,13.331,0.852,85
"Machibroda, N",2025,Barrie Baycats,1,0,0,1,2,2,1,2,0,0,0,0,0,0,9,0,0,0.4,0,0,4,0.47,47,2,0.286,0,18,16.689,0.286,29
"Lazar, C",2025,Barrie Baycats,7,0,0,10,20,15,12,7,9,0,2,0,6,1,10.8,0,3,0.408,0,1,2.7,0.66,66,1.6,0.362,8.1,6.3,14.87,0.638,64
"Warden, J",2025,Barrie Baycats,8,3,0,16.1,18,23,20,24,22,0,2,1,4,1,11.02,0,3,0.273,2,4,2.57,0.53,53,2.816,0.205,12.122,13.224,11.513,0.479,48
"Roach, J",2025,Barrie Baycats,4,0,0,5,11,10,8,5,8,0,0,0,3,0,14.4,0,0,0.458,6,1,3.2,0.55,55,2.6,0.423,14.4,9,16.838,0.625,63
"Torres, C",2025,Barrie Baycats,3,1,0,4.1,5,12,8,11,5,0,1,0,0,0,16.61,0,0,0.313,1,2,3.69,0.45,45,3.692,0.185,10.385,22.846,15.837,0.548,55
