Event,Raw_Run_Value,Above_Out_Run_Value,Event_Count,wOBA_Weight,wOBA_Scale,Validated_Games,Validated_PA
1B,0.572512867786989,0.943722099205602,1117,0.942409964229748,0.998609617198793,84,6686
2B,0.830046216608856,1.20125544802747,273,1.19958524311268,0.998609617198793,84,6686
3B,1.19894782851418,1.57015705993279,19,1.56797394056147,0.998609617198793,84,6686
BB,0.422026362122096,0.793235593540708,582,0.792132692414144,0.998609617198793,84,6686
HBP,0.457769355088622,0.828978586507235,151,0.827825988937987,0.998609617198793,84,6686
HR,1.37312576955868,1.74433500097729,215,1.74190970759239,0.998609617198793,84,6686
OUT,-0.371209231418613,0,3945,0,0.998609617198793,84,6686
