Inning,Outs,Balls,Strikes,Count,Date,Batter_Team,Pitcher_Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y
1,2,3,2,'3-2,2025-09-21,Brock Badgers,Waterloo Warriors,,Jaden Leeder,Aidan Armitage,R,R,Breaking Ball,Strikeout Looking,,,100,-1.159741162,0.636459888
1,0,0,0,'0-0,2025-09-21,Waterloo Warriors,Brock Badgers,,Adam Leatherland,Ryan Facchini,L,R,Cutter,Called Strike,,,0,-0.598367455,0.421951792
1,0,0,1,'0-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Adam Leatherland,Ryan Facchini,L,R,Cutter,Groundout,Ground Ball,Pull,0,-0.443505743,0.330019751
1,1,0,0,'0-0,2025-09-21,Waterloo Warriors,Brock Badgers,,Carter Kipp,Ryan Facchini,R,R,Fastball,Foul,,,0,-0.733871454,0.766696947
1,1,0,1,'0-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Carter Kipp,Ryan Facchini,R,R,Cutter,Single,Ground Ball,Opposite Field,0,-0.71451374,0.605815874
1,1,0,0,'0-0,2025-09-21,Waterloo Warriors,Brock Badgers,,Arthur Kowara,Ryan Facchini,R,R,Cutter,Called Strike,,,100,-0.211213175,0.176799682
1,1,0,1,'0-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Arthur Kowara,Ryan Facchini,R,R,Slider,Ball,,,100,-0.327359459,-0.328826545
1,1,1,1,'1-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Arthur Kowara,Ryan Facchini,R,R,Fastball,Swinging Strike,,,100,-0.249928603,0.245748713
1,1,1,2,'1-2,2025-09-21,Waterloo Warriors,Brock Badgers,,Arthur Kowara,Ryan Facchini,R,R,Fastball,Single,Ground Ball,Straightaway,100,0.698599385,1.088459091
1,1,0,0,'0-0,2025-09-21,Waterloo Warriors,Brock Badgers,,Sam Shephard,Ryan Facchini,R,R,Cutter,Called Strike,,,110,-0.637082884,0.299375737
1,1,0,1,'0-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Sam Shephard,Ryan Facchini,R,R,Cutter,Ball,,,110,-0.617725169,0.138494665
1,1,1,1,'1-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Sam Shephard,Ryan Facchini,R,R,Fastball,Ball,,,110,0.582453101,-0.129640455
1,1,2,1,'2-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Sam Shephard,Ryan Facchini,R,R,Fastball,Ball,,,110,-1.314602875,0.268731723
1,1,3,1,'3-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Sam Shephard,Ryan Facchini,R,R,Cutter,Groundout,Ground Ball,Pull,110,-0.579009741,0.628798885
1,2,0,0,'0-0,2025-09-21,Waterloo Warriors,Brock Badgers,,Rhys Jenkyn,Ryan Facchini,L,R,Cutter,Swinging Strike,,,11,-0.598367455,-0.106657445
1,2,0,1,'0-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Rhys Jenkyn,Ryan Facchini,L,R,Fastball,Ball,,,11,0.234014248,-0.244555507
1,2,1,1,'1-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Rhys Jenkyn,Ryan Facchini,L,R,Cutter,Ball,,,11,0.776030241,-0.267538517
1,2,2,1,'2-1,2025-09-21,Waterloo Warriors,Brock Badgers,,Rhys Jenkyn,Ryan Facchini,L,R,Fastball,Swinging Strike,,,11,-0.520936599,0.26107072
1,2,2,2,'2-2,2025-09-21,Waterloo Warriors,Brock Badgers,,Rhys Jenkyn,Ryan Facchini,L,R,Cutter,Foul,,,11,-0.327359459,0.130833661
1,2,2,2,'2-2,2025-09-21,Waterloo Warriors,Brock Badgers,,Rhys Jenkyn,Ryan Facchini,L,R,Changeup,Foul,,,11,-0.404790315,0.169138679
1,2,2,2,'2-2,2025-09-21,Waterloo Warriors,Brock Badgers,,Rhys Jenkyn,Ryan Facchini,L,R,Fastball,Ball,,,11,1.627769659,-0.060691424
1,2,3,2,'3-2,2025-09-21,Waterloo Warriors,Brock Badgers,,Rhys Jenkyn,Ryan Facchini,L,R,Slider,Strikeout Swinging,,,11,-0.133782319,-0.374792565
2,0,0,0,'0-0,2025-09-21,Brock Badgers,Waterloo Warriors,,Brady Campbell,Aidan Armitage,R,R,Breaking Ball,Groundout,Ground Ball,Straightaway,0,0.272729676,0.598154871
2,1,0,0,'0-0,2025-09-21,Brock Badgers,Waterloo Warriors,,Flynn Matheson,Aidan Armitage,R,R,Fastball,Called Strike,,,0,-0.71451374,0.789679957
2,1,0,1,'0-1,2025-09-21,Brock Badgers,Waterloo Warriors,,Flynn Matheson,Aidan Armitage,R,R,Fastball,Foul,,,0,-0.114424605,0.820323971
2,1,0,2,'0-2,2025-09-21,Brock Badgers,Waterloo Warriors,,Flynn Matheson,Aidan Armitage,R,R,Breaking Ball,Ball,,,0,1.472907946,-0.367131562
2,1,1,2,'1-2,2025-09-21,Brock Badgers,Waterloo Warriors,,Flynn Matheson,Aidan Armitage,R,R,Breaking Ball,Ball,,,0,1.685842801,0.161477675
2,1,2,2,'2-2,2025-09-21,Brock Badgers,Waterloo Warriors,,Flynn Matheson,Aidan Armitage,R,R,Breaking Ball,Ball,,,0,1.647127373,-0.022386407
2,1,3,2,'3-2,2025-09-21,Brock Badgers,Waterloo Warriors,,Flynn Matheson,Aidan Armitage,R,R,Breaking Ball,Walk,,,0,1.259973092,-0.236894503
